"object_id","volume","region_name","lga"
2696,16000,"METROPOLITAN SOUTH EAST REGION","KNOX"
2697,13000,"METROPOLITAN SOUTH EAST REGION","BAYSIDE"
2698,925,"SOUTH WESTERN REGION","COLAC OTWAY"
2699,2100,"WESTERN REGION","MILDURA"
2700,5500,"WESTERN REGION","MILDURA"
2701,5000,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2702,6500,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2703,5600,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2704,7100,"METROPOLITAN SOUTH EAST REGION","MONASH"
2705,13000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2706,15000,"METROPOLITAN SOUTH EAST REGION","WHITEHORSE"
