"object_id","volume","region_name","lga"
2357,1900,"EASTERN REGION","LATROBE"
2358,11000,"METROPOLITAN NORTH WEST REGION","NILLUMBIK"
2359,10000,"METROPOLITAN NORTH WEST REGION","MORELAND"
2360,4100,"METROPOLITAN NORTH WEST REGION","MORELAND"
2361,435,"SOUTH WESTERN REGION","GOLDEN PLAINS"
2362,8500,"WESTERN REGION","BALLARAT"
2363,6100,"WESTERN REGION","BALLARAT"
2364,5600,"NORTHERN REGION","MACEDON RANGES"
2365,4500,"SOUTH WESTERN REGION","GEELONG"
2366,4600,"METROPOLITAN NORTH WEST REGION","YARRA"
2367,260,"SOUTH WESTERN REGION","GLENELG"
2368,122,"WESTERN REGION","NORTHERN GRAMPIANS"
2369,11000,"METROPOLITAN NORTH WEST REGION","WHITTLESEA"
2370,6500,"METROPOLITAN NORTH WEST REGION","BANYULE"
2371,13000,"METROPOLITAN NORTH WEST REGION","MORELAND"
2372,12000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2373,20000,"METROPOLITAN NORTH WEST REGION","HUME"
2374,4400,"NORTHERN REGION","MACEDON RANGES"
2375,11000,"METROPOLITAN NORTH WEST REGION","MARIBYRNONG"
2376,13000,"METROPOLITAN NORTH WEST REGION","HOBSONS BAY"
2377,19000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2378,12000,"METROPOLITAN NORTH WEST REGION","HUME"
2379,12000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2380,5400,"METROPOLITAN NORTH WEST REGION","HUME"
2381,112,"NORTHERN REGION","SWAN HILL"
2382,12000,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2383,1100,"WESTERN REGION","CENTRAL GOLDFIELDS"
2384,1100,"WESTERN REGION","HEPBURN"
2385,271,"NORTHERN REGION","GANNAWARRA"
2386,350,"NORTHERN REGION","GANNAWARRA"
2387,9700,"METROPOLITAN SOUTH EAST REGION","KNOX"
2388,16000,"METROPOLITAN NORTH WEST REGION","YARRA"
2389,17000,"METROPOLITAN NORTH WEST REGION","DAREBIN"
2390,13000,"SOUTH WESTERN REGION","SURF COAST"
2391,10000,"METROPOLITAN SOUTH EAST REGION","CASEY"
2392,1500,"NORTH EASTERN REGION","INDIGO"
2393,641,"NORTH EASTERN REGION","INDIGO"
2394,880,"NORTH EASTERN REGION","INDIGO"
2395,1200,"EASTERN REGION","WELLINGTON"
2396,456,"WESTERN REGION","MOORABOOL"
2397,4900,"EASTERN REGION","BAW BAW"
2398,1700,"NORTHERN REGION","CAMPASPE"
2399,2000,"NORTHERN REGION","MACEDON RANGES"
2400,4500,"METROPOLITAN SOUTH EAST REGION","FRANKSTON"
2401,359,"NORTH EASTERN REGION","WANGARATTA"
2402,225,"SOUTH WESTERN REGION","MOYNE"
2403,486,"SOUTH WESTERN REGION","CORANGAMITE"
2404,693,"SOUTH WESTERN REGION","CORANGAMITE"
2405,12000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
